;x.0;x.1;x.2;x.3;x.4;x.5;x.6;x.7;x.8;x.9;x.10;x.11;x.12;x.13;x.14;x.20;x.17;x.18;x.19;x.16;y
16;b;28,25;0.875;u;g;m;v;0.96;t;t;3;t;g;396.0;f;t;110,35985957870301;6,246483733561204;396000.0;f;good
17;a;23,25;5.875;u;g;q;v;3.17;t;t;10;f;g;120.0;245;t;86,46113984037167;31,694410917636603;120000.0;?;good
18;b;21,83;0.25;u;g;d;h;0.665;t;f;f;t;g;f;f;t;81,5385810170045;2,979437875920871;f;f;good
19;a;19,17;8.585;u;g;cc;h;0.75;t;t;7;f;g;96.0;f;t;74,69633891869066;48,2672815946333;96000.0;f;good
20;b;25,0;11.25;u;g;c;v;2.5;t;t;17;f;g;200.0;1208;t;92,70966968232182;62,172767761989064;200000.0;f;good
21;b;23,25;t;u;g;c;v;0.835;t;f;f;f;s;300.0;f;t;85,35035924259397;6,484371526263234;300000.0;f;good
22;a;47,75;8.0;u;g;c;v;7.875;t;t;6;t;g;f;1260;t;178,28238340720986;45,693100343510835;f;f;good
23;a;27,42;14.5;u;g;x;h;3.085;t;t;t;f;g;120.0;11;t;106,2707349011944;83,52617976005051;120000.0;f;good
24;a;41,17;6.5;u;g;q;v;0.5;t;t;3;t;g;145.0;f;t;156,27556008900095;37,52466375816755;145000.0;f;good
25;a;15,83;0.585;u;g;c;h;1.5;t;t;2;f;g;100.0;f;t;57,05587081517274;3,1374689870344046;100000.0;?;good
26;a;47,0;13.0;u;g;i;bb;5.165;t;t;9;t;g;f;f;t;181,37393560041806;73,9044773386615;f;f;good
27;b;56,58;18.5;u;g;d;bb;15.0;t;t;17;t;g;f;f;t;210,264422192836;103,81331968963258;f;f;good
28;b;57,42;8.5;u;g;e;h;7.0;t;t;3;f;g;f;f;t;217,10661787562447;48,22554382928715;f;f;good
29;b;42,08;1.04;u;g;w;v;5.0;t;t;6;t;g;500.0;10000;t;157,72036146897702;5,314717778393929;500000.0;f;good
30;b;29,25;14.79;u;g;aa;v;5.04;t;t;5;t;g;168.0;f;t;111,06355733581307;81,85943363425491;168000.0;f;good
31;b;42,0;9.79;u;g;x;h;7.96;t;t;8;f;g;f;f;t;159,31360473434742;54,631922437781284;f;f;good
32;b;49,5;7.585;u;g;i;bb;7.585;t;t;15;t;g;f;5000;t;188,390343909053;42,725213111712414;f;f;good
33;a;36,75;5.125;u;g;e;v;5.0;t;f;f;t;g;f;4000;t;138,9473138008334;29,03614805393129;f;f;good
34;a;22,58;10.75;u;g;q;v;0.415;t;t;5;t;g;f;560;t;87,34685886543883;59,29976911234428;f;?;good
35;b;27,83;1.5;u;g;w;v;2.0;t;t;11;t;g;434.0;35;t;101,17365093149526;9,375961617917138;434000.0;f;good
36;b;27,25;1.585;u;g;cc;h;1.835;t;t;12;t;g;583.0;713;t;106,02127960182524;8,940649836697641;583000.0;f;good
37;a;23,0;11.75;u;g;x;h;0.5;t;t;2;t;g;300.0;551;t;84,75408413580291;66,35546473610667;300000.0;f;good
38;b;27,75;0.585;y;p;cc;v;0.25;t;t;2;f;g;260.0;500;t;102,4198031652081;1,0145276450457255;260000.0;f;good
39;b;54,58;9.415;u;g;ff;ff;14.415;t;t;11;t;g;30.0;300;t;204,0857849246297;51,59678265311633;30000.0;f;good
40;b;34,17;9.17;u;g;c;v;4.5;t;t;12;t;g;f;221;t;127,55952422281956;53,25680125907663;f;?;good
41;b;28,92;15.0;u;g;c;h;5.335;t;t;11;f;g;f;2283;t;111,13129798257751;83,4009201363878;f;f;good
42;b;29,67;1.415;u;g;w;h;0.75;t;t;t;f;g;240.0;100;t;112,25305766337942;6,604351225453198;240000.0;f;good
43;b;39,58;13.915;u;g;w;v;8.625;t;t;6;t;g;70.0;f;t;150,16952774596047;79,15622018560197;70000.0;f;good
44;b;56,42;28.0;y;p;c;v;28.5;t;t;40;f;g;f;15;t;213,75783937860714;157,88851152312307;f;?;good
45;b;54,33;6.75;u;g;c;h;2.625;t;t;11;t;g;f;284;t;207,43244555915166;39,4085185779398;f;?;good
46;a;41,0;2.04;y;p;q;h;0.125;t;t;23;t;g;455.0;1236;t;154,6063652958491;10,407646223713005;455000.0;f;good
47;b;31,92;4.46;u;g;cc;h;6.04;t;t;3;f;g;311.0;300;t;122,42843424302413;26,036456287419938;311000.0;f;good
48;b;41,5;1.54;u;g;i;bb;3.5;b;f;f;f;g;216.0;f;f;158,19274851363414;7,470288878592845;216000.0;f;good
49;b;23,92;0.665;u;g;c;v;0.165;c;f;f;f;g;100.0;f;f;88,600603826454;2,947588352605254;100000.0;f;good
50;a;25,75;0.5;u;g;c;h;0.875;t;f;f;t;g;491.0;f;t;95,94337526269624;3,4409965723577987;491000.0;?;good
51;b;26,0;t;u;g;q;v;1.75;t;f;f;t;g;280.0;f;t;101,55964639635141;4,997697433413862;280000.0;f;good
52;b;37,42;2.04;u;g;w;v;0.04;t;f;f;t;g;400.0;5800;t;140,38312106454907;11,615096837206979;400000.0;?;good
53;b;34,92;2.5;u;g;w;v;f;t;f;f;t;g;239.0;200;t;131,09466582310515;14,036096571287535;239000.0;f;good
54;b;34,25;3.0;u;g;cc;h;7.415;t;f;f;t;g;f;f;t;129,07540313104926;15,757152885624487;f;f;good
55;b;23,33;11.625;y;p;w;v;0.835;t;f;f;t;g;160.0;300;t;89,25088716328372;63,77832786003496;160000.0;f;good
56;b;23,17;f;u;g;cc;v;0.085;t;f;f;f;g;f;f;t;91,1642527697928;1,1948194766682447;f;?;good
57;b;44,33;0.5;u;g;i;h;5.0;t;f;f;t;g;320.0;f;t;166,95811631793185;3,4430109858464766;320000.0;f;good
58;b;35,17;4.5;u;g;x;h;5.75;a;f;f;t;s;711.0;f;f;132,69399359300144;24,838059319085914;711000.0;f;good
59;b;43,25;3.0;u;g;q;h;6.0;t;t;11;f;g;80.0;f;t;166,37702939896718;17,38405174210148;80000.0;f;good
60;b;56,75;12.25;u;g;m;v;1.25;t;t;4;t;g;200.0;f;t;210,75168837309715;69,34477153520153;200000.0;?;good
61;b;31,67;16.165;u;g;d;v;3.0;t;t;9;f;g;250.0;730;t;122,61777862926004;89,44064026726925;250000.0;f;good
62;a;23,42;0.79;y;p;q;v;1.5;t;t;2;t;g;80.0;400;t;86,33932152364319;5,007132746136966;80000.0;f;good
63;a;20,42;0.835;u;g;q;v;1.585;t;t;t;f;g;f;f;t;75,58866025660004;5,467007746816746;f;f;good
64;b;26,67;4.25;u;g;cc;v;4.29;t;t;t;t;g;120.0;f;t;100,84201480139218;22,57894873992605;120000.0;?;good
65;b;34,17;1.54;u;g;cc;v;1.54;t;t;t;t;g;520.0;50000;t;129,67757970516732;7,952429160232198;520000.0;?;good
66;a;36,0;t;u;g;c;v;2.0;t;t;11;f;g;f;456;t;136,22773649459683;4,1379239105547745;f;f;good
67;b;25,5;0.375;u;g;m;v;0.25;t;t;3;f;g;260.0;15108;t;95,01924631390723;2,34547465835269;260000.0;?;good
68;b;19,42;6.5;u;g;w;h;1.46;t;t;7;f;g;80.0;2954;t;74,9693540592059;37,04829177644119;80000.0;f;good
69;b;35,17;25.125;u;g;x;h;1.625;t;t;t;t;g;515.0;500;t;136,12785657969476;140,22246247365476;515000.0;?;good
70;b;32,33;7.5;u;g;e;bb;1.585;t;f;f;t;s;420.0;f;t;122,62248196095612;42,16651393229939;420000.0;t;bad
71;b;34,83;4.0;u;g;d;bb;12.5;t;f;f;t;g;?;f;t;129,38309837217332;23,375693344889147;?;t;bad
72;a;38,58;5.0;u;g;cc;v;13.5;t;f;f;t;g;980.0;f;t;145,20648414169116;28,32495595032339;980000.0;t;bad
73;b;44,25;0.5;u;g;m;v;10.75;t;f;f;f;s;400.0;f;t;163,9921065311375;2,4023341576825654;400000.0;?;bad
74;b;44,83;7.0;y;p;c;v;1.625;b;f;f;f;g;160.0;2;f;167,66616261070462;40,104339098912234;160000.0;t;bad
75;b;20,67;5.29;u;g;q;v;0.375;t;t;t;f;g;160.0;f;t;78,4144179731876;27,926580194873072;160000.0;t;bad
76;b;34,08;6.5;u;g;aa;v;0.125;t;f;f;t;g;443.0;f;t;130,19772240716577;35,667493311768034;443000.0;t;bad
77;a;19,17;0.585;y;p;aa;v;0.585;t;f;f;t;g;160.0;f;t;70,02382640993021;3,769767591408155;160000.0;t;bad
78;b;21,67;1.165;y;p;k;v;2.5;t;t;t;f;g;180.0;20;t;81,60987662903472;6,284910269452245;180000.0;t;bad
79;b;21,5;9.75;u;g;c;v;0.25;t;f;f;f;g;140.0;f;t;77,97901637931763;54,79628916568615;140000.0;t;bad
80;b;49,58;19.0;u;g;ff;ff;f;t;t;t;f;g;94.0;f;t;188,9491903780389;105,4782377059641;94000.0;t;bad
81;a;27,67;1.5;u;g;m;v;2.0;t;f;f;f;s;368.0;f;t;105,63840285323592;6,791362477730401;368000.0;t;bad
82;b;39,83;0.5;u;g;m;v;0.25;t;f;f;f;s;288.0;f;t;149,59511658016748;3,8951114077911377;288000.0;t;bad
83;a;?;3.5;u;g;d;v;3.0;t;f;f;t;g;300.0;f;t;?;19,563153193871432;300000.0;?;bad
84;b;27,25;0.625;u;g;aa;v;0.455;t;f;f;t;g;200.0;f;t;102,62777739524165;4,70499535509568;200000.0;t;bad
85;b;37,17;4.0;u;g;c;bb;5.0;t;f;f;t;s;280.0;f;t;138,29931801441532;22,81723573387896;280000.0;t;bad
86;b;?;0.375;u;g;d;v;0.875;t;f;f;t;s;928.0;f;t;?;1,1914514405129033;928000.0;t;bad
87;b;25,67;2.21;y;p;aa;v;4.0;t;f;f;f;g;188.0;f;t;98,61990938621263;12,752982095983253;188000.0;?;bad
88;b;34,0;4.5;u;g;aa;v;t;t;f;f;t;g;240.0;f;t;129,57040033273208;24,99998950022017;240000.0;t;bad
89;a;49,0;1.5;u;g;j;j;f;t;f;f;t;g;100.0;27;t;184,57383651652557;7,026679841649861;100000.0;t;bad
90;b;62,5;12.75;y;p;c;h;5.0;t;f;f;f;g;112.0;f;t;233,87303131876342;72,632548213733;112000.0;t;bad
91;b;31,42;15.5;u;g;c;v;0.5;t;f;f;f;g;120.0;f;t;117,08759347759685;86,66818155876038;120000.0;t;bad
92;b;?;5.0;y;p;aa;v;8.5;t;f;f;f;g;f;f;t;?;29,457710557282674;f;?;bad
93;b;52,33;1.375;y;p;c;h;9.46;t;f;f;t;g;200.0;100;t;199,6145750354001;7,514484184063672;200000.0;t;bad
94;b;28,75;1.5;y;p;c;v;1.5;t;f;f;t;g;f;225;t;110,82011829720464;7,962852947012715;f;?;bad
95;a;28,58;3.54;u;g;i;bb;0.5;t;f;f;t;g;171.0;f;t;110,36686492654977;20,80262259202653;171000.0;?;bad
96;b;23,0;0.625;y;p;aa;v;0.125;t;f;f;f;g;180.0;t;t;84,3355374114123;1,9762275885263743;180000.0;t;bad
97;b;?;0.5;u;g;c;bb;0.835;t;f;f;t;s;320.0;f;t;?;2,5103487660721098;320000.0;t;bad
98;a;22,5;11.0;y;p;q;v;3.0;t;f;f;t;g;268.0;f;t;86,56609050640972;59,97401062578838;268000.0;?;bad
99;a;28,5;t;u;g;q;v;t;t;t;2;t;g;167.0;500;t;108,2809593565254;7,231971760778356;167000.0;t;bad
100;b;37,5;1.75;y;p;c;bb;0.25;t;f;f;t;g;164.0;400;t;140,70831899202585;11,811790208836493;164000.0;t;bad
101;b;35,25;16.5;y;p;c;v;4.0;t;f;f;f;g;80.0;f;t;131,23076009299177;94,3938038290318;80000.0;t;bad
102;b;18,67;5.0;u;g;q;v;0.375;t;t;2;f;g;f;38;t;68,92113775193623;27,684590309857615;f;t;bad
103;b;25,0;12.0;u;g;k;v;2.25;t;t;2;t;g;120.0;5;t;93,86425316969131;65,54041616429622;120000.0;t;bad
104;b;27,83;4.0;y;p;i;h;5.75;t;t;2;t;g;75.0;f;t;105,78145210874398;23,185488256561122;75000.0;t;bad
105;b;54,83;15.5;u;g;e;z;f;t;t;20;f;g;152.0;130;t;210,26043626385677;87,25702843818166;152000.0;t;bad
106;b;28,75;1.165;u;g;k;v;0.5;t;f;f;f;s;280.0;f;t;107,55837549892662;4,8913565899618385;280000.0;t;bad
107;a;25,0;11.0;y;p;aa;v;4.5;t;f;f;f;g;120.0;f;t;92,0582197751388;61,25409321045554;120000.0;t;bad
108;b;40,92;2.25;y;p;x;h;10.0;t;f;f;t;g;176.0;f;t;155,7696290269716;12,214938008519457;176000.0;?;bad
109;a;19,75;0.75;u;g;c;v;0.795;t;t;5;t;g;140.0;5;t;74,44024961683193;3,840450595310368;140000.0;t;bad
110;b;29,17;3.5;u;g;w;v;3.5;t;t;3;t;g;329.0;f;t;108,37344856419419;18,600787378458143;329000.0;t;bad
111;a;24,5;1.04;y;p;ff;ff;0.5;t;t;3;f;g;180.0;147;t;91,07610840730165;7,605347461570503;180000.0;t;bad
112;b;24,58;12.5;u;g;w;v;0.875;t;f;f;t;g;260.0;f;t;91,05443380926135;70,85219724629319;260000.0;t;bad
113;a;33,75;0.75;u;g;k;bb;t;t;t;3;t;g;212.0;f;t;129,1704364326821;4,408480212554006;212000.0;?;bad
114;b;20,67;1.25;y;p;c;h;1.375;t;t;3;t;g;140.0;210;t;77,13856398692946;6,963363837926696;140000.0;?;bad
115;a;25,42;1.125;u;g;q;v;1.29;t;t;2;f;g;200.0;f;t;94,29989048696054;6,924523623130735;200000.0;?;bad
116;b;37,75;7.0;u;g;q;h;11.5;t;t;7;t;g;300.0;5;t;141,18662356897866;41,08976281843001;300000.0;t;bad
117;b;52,5;6.5;u;g;k;v;6.29;t;t;15;f;g;f;11202;t;200,84140269555115;37,492575007111284;f;?;good
118;b;57,83;7.04;u;g;m;v;14.0;t;t;6;t;g;360.0;1332;t;220,84892128957057;40,07103339131855;360000.0;?;good
119;a;20,75;10.335;u;g;cc;h;0.335;t;t;t;t;g;80.0;50;t;80,20874486821869;57,67320819600724;80000.0;f;good
120;b;39,92;6.21;u;g;q;v;0.04;t;t;t;f;g;200.0;300;t;150,34527961856327;35,66336266708667;200000.0;f;good
121;b;25,67;12.5;u;g;cc;v;1.21;t;t;67;t;g;140.0;258;t;92,35535753572351;69,68027663211377;140000.0;f;good
122;a;24,75;12.5;u;g;aa;v;1.5;t;t;12;t;g;120.0;567;t;93,04845062307935;68,96334613443932;120000.0;f;good
123;a;44,17;6.665;u;g;q;v;7.375;t;t;3;t;g;f;f;t;165,5335634409154;38,64918901704511;f;?;good
124;a;23,5;9.0;u;g;q;v;8.5;t;t;5;t;g;120.0;f;t;87,9698827127618;49,070137367262134;120000.0;f;good
125;b;34,92;5.0;u;g;x;h;7.5;t;t;6;t;g;f;1000;t;135,9702209308617;28,978292832389016;f;?;good
126;b;47,67;2.5;u;g;m;bb;2.5;t;t;12;t;g;410.0;2510;t;179,4557426447716;12,718880714792292;410000.0;f;good
127;b;22,75;11.0;u;g;q;v;2.5;t;t;7;t;g;100.0;809;t;86,89163230655194;62,03126885379006;100000.0;?;good
128;b;34,42;4.25;u;g;i;bb;3.25;t;t;2;f;g;274.0;610;t;130,2561296880488;21,711801951221513;274000.0;f;good
129;a;28,42;3.5;u;g;w;v;0.835;t;f;f;f;s;280.0;f;t;107,28200725644886;19,49047935016233;280000.0;f;good
130;b;67,75;5.5;u;g;e;z;13.0;t;t;t;t;g;f;f;t;256,4968250040341;29,240145239432483;f;f;good
131;b;20,42;1.835;u;g;c;v;2.25;t;t;t;f;g;100.0;150;t;74,2617471676903;10,672881031682124;100000.0;f;good
132;a;47,42;8.0;u;g;e;bb;6.5;t;t;6;f;g;375.0;51100;t;178,7114396518353;43,782513830759854;375000.0;f;good
133;b;36,25;5.0;u;g;c;bb;2.5;t;t;6;f;g;f;367;t;140,59198497469785;28,043582781228793;f;f;good
134;b;32,67;5.5;u;g;q;h;5.5;t;t;12;t;g;408.0;1000;t;125,43697445883696;30,434345662905983;408000.0;?;good
135;b;48,58;6.5;u;g;q;h;6.0;t;f;f;t;g;350.0;f;t;183,2290101900161;37,08885932269432;350000.0;f;good
136;b;39,92;0.54;y;p;aa;v;0.5;t;t;3;f;g;200.0;1000;t;149,02293466984457;3,166100946201606;200000.0;f;good
137;b;33,58;2.75;u;g;m;v;4.25;t;t;6;f;g;204.0;f;t;127,33220278892787;14,672752886586965;204000.0;?;good
138;a;18,83;9.5;u;g;w;v;1.625;t;t;6;t;g;40.0;600;t;70,59386124023602;53,86657731267045;40000.0;?;good
139;a;26,92;13.5;u;g;q;h;5.0;t;t;2;f;g;f;5000;t;103,33654859620127;77,42511685408026;f;f;good
140;a;31,25;3.75;u;g;cc;h;0.625;t;t;9;t;g;181.0;f;t;114,781750102604;19,815963457796993;181000.0;?;good
141;a;56,5;16.0;u;g;j;ff;f;t;t;15;f;g;f;247;t;215,3822668363256;89,03659908284203;f;f;good
142;b;43,0;0.29;y;p;cc;h;1.75;t;t;8;f;g;100.0;375;t;163,07359020219394;1,9783881556636098;100000.0;f;good
143;b;22,33;11.0;u;g;w;v;2.0;t;t;t;f;g;80.0;278;t;83,02973228789142;61,92615625129616;80000.0;?;good
144;b;27,25;1.665;u;g;cc;h;5.085;t;t;9;f;g;399.0;827;t;103,12757255592481;10,848760383867871;399000.0;f;good
145;b;32,83;2.5;u;g;cc;h;2.75;t;t;6;f;g;160.0;2072;t;123,85946580699323;13,029088457900968;160000.0;f;good
146;b;23,25;1.5;u;g;q;v;2.375;t;t;3;t;g;f;582;t;87,44878912903197;8,89019872794423;f;f;good
147;a;40,33;7.54;y;p;q;h;8.0;t;t;14;f;g;f;2300;t;150,2122418033849;42,00525002304978;f;f;good
148;a;30,5;6.5;u;g;c;bb;4.0;t;t;7;t;g;f;3065;t;115,58788750343724;37,35598082090464;f;f;good
149;a;52,83;15.0;u;g;c;v;5.5;t;t;14;f;g;f;2200;t;198,18652264169856;84,52708163848905;f;f;good
150;a;46,67;0.46;u;g;cc;h;0.415;t;t;11;t;g;440.0;6;t;174,3666722840977;2,677512450373975;440000.0;?;good
151;a;58,33;10.0;u;g;q;v;4.0;t;t;14;f;g;f;1602;t;220,44382090473053;53,408284876539476;f;f;good
152;b;37,33;6.5;u;g;m;h;4.25;t;t;12;t;g;93.0;f;t;138,3787739278114;36,094419181144865;93000.0;f;good
153;b;23,08;2.5;u;g;c;v;1.085;t;t;11;t;g;60.0;2184;t;85,98802017870827;13,234652191263608;60000.0;f;good
154;b;32,75;1.5;u;g;cc;h;5.5;t;t;3;t;g;f;f;t;126,290163906099;7,107121419762917;f;f;good
155;a;21,67;11.5;y;p;j;j;f;t;t;11;t;g;f;f;t;80,56016735437161;63,20439122827052;f;?;good
156;a;28,5;3.04;y;p;x;h;2.54;t;t;t;f;g;70.0;f;t;104,88512840344865;15,471034477944347;70000.0;?;good
157;a;68,67;15.0;u;g;e;z;f;t;t;14;f;g;f;3376;t;259,9408943448481;81,98861281599805;f;f;good
158;b;28,0;2.0;u;g;k;h;4.165;t;t;2;t;g;181.0;f;t;107,5762054190474;11,612335553828549;181000.0;f;good
159;b;34,08;0.08;y;p;m;bb;0.04;t;t;t;t;g;280.0;2000;t;127,30605465811978;1,4567043474025236;280000.0;?;good
160;b;27,67;2.0;u;g;x;h;t;t;t;4;f;g;140.0;7544;t;103,57079056909484;11,712377776186349;140000.0;f;good
161;b;44,0;2.0;u;g;m;v;1.75;t;t;2;t;g;f;15;t;167,10048507411062;11,104644830646329;f;f;good
162;b;25,08;1.71;u;g;x;v;1.665;t;t;t;t;g;395.0;20;t;91,6043589853218;9,24847486334709;395000.0;f;good
163;b;32,0;1.75;y;p;e;h;0.04;t;f;f;t;g;393.0;f;t;123,43369452352337;9,021971380522729;393000.0;f;good
164;a;60,58;16.5;u;g;q;v;11.0;t;f;f;t;g;21.0;10561;t;230,34032242630929;93,5298934215066;21000.0;f;good
165;a;40,83;10.0;u;g;q;h;1.75;t;f;f;f;g;29.0;837;t;152,6405052457402;55,309304514869574;29000.0;?;good
166;b;19,33;9.5;u;g;q;v;t;t;f;f;t;g;60.0;400;t;71,16385163050222;53,432427615050685;60000.0;f;good
167;a;32,33;0.54;u;g;cc;v;0.04;t;f;f;f;g;440.0;11177;t;123,54094817282439;4,276533343747676;440000.0;f;good
168;b;36,67;3.25;u;g;q;h;9.0;t;f;f;t;g;102.0;639;t;137,20503976057304;18,72278355333971;102000.0;f;good
169;b;37,5;1.125;y;p;d;v;1.5;a;f;f;t;g;431.0;f;f;142,71282893055113;5,502009139465553;431000.0;f;good
170;a;25,08;2.54;y;p;aa;v;0.25;t;f;f;t;g;370.0;f;t;93,39237155988211;13,425831422375047;370000.0;?;good
171;b;41,33;f;u;g;c;bb;15.0;t;f;f;f;g;f;f;t;156,81206522977067;1,2224367942778729;f;f;good
172;b;56,0;12.5;u;g;k;h;8.0;t;f;f;t;g;24.0;2028;t;209,042710397625;70,0554336198232;24000.0;?;good
173;a;49,83;13.585;u;g;k;h;8.5;t;f;f;t;g;f;f;t;187,89145552104085;77,05855369441598;f;f;good
174;b;22,67;10.5;u;g;q;h;1.335;t;f;f;f;g;100.0;f;t;84,54920579976361;58,8737841933655;100000.0;?;good
175;b;27,0;1.5;y;p;w;v;0.375;t;f;f;t;g;260.0;1065;t;99,97902875807371;8,317887873620325;260000.0;f;good
176;b;25,0;12.5;u;g;aa;v;3.0;t;f;f;t;s;20.0;f;t;94,1511837590753;70,13171065454735;20000.0;f;good
177;a;26,08;8.665;u;g;aa;v;1.415;t;f;f;f;g;160.0;150;t;97,36498224804417;47,08881791690664;160000.0;?;good
178;a;18,42;9.25;u;g;q;v;1.21;t;t;4;f;g;60.0;540;t;74,23175296709533;51,157569794631755;60000.0;f;good
179;b;20,17;8.17;u;g;aa;v;1.96;t;t;14;f;g;60.0;158;t;78,8679544731642;45,297471929958995;60000.0;f;good
180;b;47,67;0.29;u;g;c;bb;15.0;t;t;20;f;g;f;15000;t;177,46232472993958;1,2214139098536783;f;f;good
181;a;21,25;2.335;u;g;i;bb;0.5;t;t;4;f;s;80.0;f;t;77,90332303906466;13,880187481567233;80000.0;f;good
182;a;20,67;3.0;u;g;q;v;0.165;t;t;3;f;g;100.0;6;t;80,12823971619673;16,819352810720726;100000.0;f;good
183;a;57,08;19.5;u;g;c;v;5.5;t;t;7;f;g;f;3000;t;217,171880566652;108,59977680123815;f;f;good
184;a;22,42;5.665;u;g;q;v;2.585;t;t;7;f;g;129.0;3257;t;85,33086557114885;31,813322126631554;129000.0;f;good
185;b;48,75;8.5;u;g;c;h;12.5;t;t;9;f;g;181.0;1655;t;182,7146879857305;48,564146958847296;181000.0;?;good
186;b;40,0;6.5;u;g;aa;bb;3.5;t;t;t;f;g;f;500;t;151,79710034533974;36,457989487413016;f;f;good
187;b;40,58;5.0;u;g;c;v;5.0;t;t;7;f;g;f;3065;t;155,20379869751574;27,79798122096722;f;?;good
188;a;28,67;1.04;u;g;c;v;2.5;t;t;5;t;g;300.0;1430;t;108,1737863709579;7,4938678205796485;300000.0;f;good
189;a;33,08;4.625;u;g;q;h;1.625;t;t;2;f;g;f;f;t;126,53490782170728;24,220939206582276;f;f;good
190;b;21,33;10.5;u;g;c;v;3.0;t;f;f;t;g;f;f;t;82,08646601747917;59,23722355940694;f;f;good
191;b;42,0;0.205;u;g;i;h;5.125;t;f;f;f;g;400.0;f;t;160,30476057408552;1,1462944451017572;400000.0;f;good
192;b;41,75;0.96;u;g;x;v;2.5;t;f;f;f;g;510.0;600;t;158,1571828869653;5,843791547408116;510000.0;f;good
193;b;22,67;1.585;y;p;w;v;3.085;t;t;6;f;g;80.0;f;t;84,07003104715388;7,7981149737606685;80000.0;f;good
194;b;34,5;4.04;y;p;i;bb;8.5;t;t;7;t;g;195.0;f;t;132,44548701665536;23,475470504025026;195000.0;f;good
195;b;28,25;5.04;y;p;c;bb;1.5;t;t;8;t;g;144.0;7;t;109,53543153641061;27,885976041932686;144000.0;f;good
196;b;33,17;3.165;y;p;x;v;3.165;t;t;3;t;g;380.0;f;t;127,59144269412657;16,581305820660404;380000.0;?;good
197;b;48,17;7.625;u;g;w;h;15.5;t;t;12;f;g;f;790;t;179,94609290637268;43,14893988605714;f;?;good
198;b;27,58;2.04;y;p;aa;v;2.0;t;t;3;t;g;370.0;560;t;103,73911513700635;12,709254344469436;370000.0;f;good
199;b;22,58;10.04;u;g;x;v;0.04;t;t;9;f;g;60.0;396;t;84,95009418254554;57,70398065294522;60000.0;?;good
200;a;24,08;0.5;u;g;q;h;1.25;t;t;t;f;g;f;678;t;92,74793816815001;3,2643617743722135;f;f;good
201;a;41,33;t;u;g;i;bb;2.25;t;f;f;t;g;f;300;t;156,577107673316;4,70468160482802;f;?;good
202;b;24,83;2.75;u;g;c;v;2.25;t;t;6;f;g;?;600;t;91,15015080431874;16,99038149514617;?;f;good
203;a;20,75;10.25;u;g;q;v;0.71;t;t;2;t;g;49.0;f;t;76,95618100795284;59,075031931843256;49000.0;?;good
204;b;36,33;2.125;y;p;w;v;0.085;t;t;t;f;g;50.0;1187;t;138,68766750212055;11,077167989738914;50000.0;?;good
205;a;35,42;12.0;u;g;q;h;14.0;t;t;8;f;g;f;6590;t;133,54340454389538;68,0700037634411;f;f;good
206;a;71,58;f;?;?;?;?;f;a;f;f;f;p;?;f;f;273,1107166424912;0,713278953193817;?;f;good
207;b;28,67;9.335;u;g;q;h;5.665;t;t;6;f;g;381.0;168;t;108,92585909722858;52,51724107269955;381000.0;f;good
208;b;35,17;2.5;u;g;k;v;4.5;t;t;7;f;g;150.0;1270;t;131,01303881778162;14,274163084726347;150000.0;f;good
